global_id,ObjectName,NameWinter,PhotoWinter,AdmArea,District,Address,Email,WebSite,HelpPhone,HelpPhoneExtension,WorkingHoursWinter,ClarificationOfWorkingHoursWinter,HasEquipmentRental,EquipmentRentalComments,HasTechService,TechServiceComments,HasDressingRoom,HasEatery,HasToilet,HasWifi,HasCashMachine,HasFirstAidPost,HasMusic,UsagePeriodWinter,DimensionsWinter,Lighting,SurfaceTypeWinter,Seats,Paid,PaidComments,DisabilityFriendly,ServicesWinter,geoData
282897592,Спортивный комплекс «Алтуфьевский»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '40ef645d-0794-4b0c-84ef-9c7bfbd59196'}],Северо-Восточный административный округ,Алтуфьевский район,"Инженерная улица, дом 5, корпус 1",sever@mossport.ru,sever.mossport.ru/,(499) 900-90-18,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:30-23:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:30-23:00'}, {'DayOfWeek': 'среда', 'Hours': '07:30-23:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:30-23:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:30-23:00'}, {'DayOfWeek': 'суббота', 'Hours': '10:00-21:15'}, {'DayOfWeek': 'воскресенье', 'Hours': '10:00-21:15'}]",,нет,,нет,,да,нет,да,да,нет,да,да,01.01-31.12,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.5784161665472, 55.879365655285], 'type': 'Point'}"
407157820,Фитнес клуб «Ворлд Класс»,бассейн плавательный крытый,[{'Photo': '965994d9-9376-42d9-9144-90857ecdbfb9'}],Центральный административный округ,район Якиманка,"Житная улица, дом 14, строение 1",,www.worldclass.ru/clubs/zhitnaya/detail,(495) 771-66-00,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-01:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-01:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-01:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-01:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-01:00'}, {'DayOfWeek': 'суббота', 'Hours': '09:00-23:55'}, {'DayOfWeek': 'воскресенье', 'Hours': '09:00-23:55'}]",,нет,,нет,,да,да,да,да,да,да,да,01.01-31.12,"[{'Square': 60, 'Length': 15, 'Width': 4, 'Depth': None}]",смешанное освещение,специальное покрытие,0,платно,,,общая физическая подготовка,"{'coordinates': [37.6157271576181, 55.7315308956434], 'type': 'Point'}"
407158063,Спортивный комплекс высшего учебного заведения «Московский государственный технический университет имени Н.Э. Баумана»,бассейн плавательный 50-ти метровый крытый,[{'Photo': 'd37d06ff-b0c5-48c6-8f4e-31e12a6efc8f'}],Центральный административный округ,Басманный район,"Госпитальная набережная, дом 4, строение 2",,bmstu.ru,(499) 263-22-37,,"[{'DayOfWeek': 'понедельник', 'Hours': '08:00-20:00'}, {'DayOfWeek': 'вторник', 'Hours': '08:00-20:00'}, {'DayOfWeek': 'среда', 'Hours': '08:00-20:00'}, {'DayOfWeek': 'четверг', 'Hours': '08:00-20:00'}, {'DayOfWeek': 'пятница', 'Hours': '08:00-20:00'}, {'DayOfWeek': 'суббота', 'Hours': '08:00-20:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:00-20:00'}]",,нет,,нет,,да,нет,да,да,нет,да,нет,01.01-31.12,"[{'Square': 1250, 'Length': 50, 'Width': 25, 'Depth': None}]",освещение газоразрядными лампами,специальное покрытие,0,платно,,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.697757891007, 55.7722104084763], 'type': 'Point'}"
407173850,Спортивный комплекс высшего учебного заведения «Российский университет транспорта (МИИТ)»,бассейн плавательный 25-ти метровый крытый,[{'Photo': 'c83d3f72-11ba-4a43-ae77-fd877adbd29c'}],Северо-Восточный административный округ,район Марьина Роща,"Новосущёвская улица, дом 24, строение 1",sport@miit.ru,www.miit.ru,(495) 684-21-35,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'суббота', 'Hours': '10:00-22:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '10:00-22:00'}]",,нет,,нет,,да,нет,да,да,нет,да,да,01.09-31.08,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': None}]",освещение светодиодными лампами,специальное покрытие,0,платно,,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.6045984994529, 55.7901498526245], 'type': 'Point'}"
407193269,Фитнес клуб «Ворлд Класс»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '35d94281-b8c2-4399-84e6-e54ab9d128b1'}],Южный административный округ,Донской район,"Варшавское шоссе, дом 12А",,www.worldclass.ru/clubs/tulskaya/detail/,(495) 633-03-03,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'суббота', 'Hours': '09:00-00:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '09:00-00:00'}]",,нет,,нет,,да,да,да,да,нет,нет,нет,01.09-31.08,"[{'Square': 125, 'Length': 25, 'Width': 5, 'Depth': None}]",смешанное освещение,специальное покрытие,0,платно,,не приспособлен,общая физическая подготовка,"{'coordinates': [37.6178597212652, 55.6970915901365], 'type': 'Point'}"
407194490,Фитнес-клуб «Пирамида»,бассейн плавательный крытый,[{'Photo': 'e9aa43f8-1443-45b7-b06a-712f53b11b8c'}],Юго-Западный административный округ,Академический район,"улица Дмитрия Ульянова, дом 31",info@loder.ru,piramida.club,(495) 128-89-69,,"[{'DayOfWeek': 'понедельник', 'Hours': '06:00-00:00'}, {'DayOfWeek': 'вторник', 'Hours': '06:00-00:00'}, {'DayOfWeek': 'среда', 'Hours': '06:00-00:00'}, {'DayOfWeek': 'четверг', 'Hours': '06:00-00:00'}, {'DayOfWeek': 'пятница', 'Hours': '06:00-00:00'}, {'DayOfWeek': 'суббота', 'Hours': '08:00-00:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:00-00:00'}]",,нет,,нет,,да,да,да,да,нет,нет,да,01.09-31.08,"[{'Square': 239.2, 'Length': 26, 'Width': 9.2, 'Depth': None}]",смешанное освещение,специальное покрытие,0,платно,,,общая физическая подготовка,"{'coordinates': [37.5854580546893, 55.6846954694213], 'type': 'Point'}"
407202066,Спортивный комплекс «Акватория Тушино»,бассейн плавательный 25-ти метровый крытый,[{'Photo': 'dda6e5e3-c8d8-4a80-9fff-dad59edb0d23'}],Северо-Западный административный округ,район Северное Тушино,"улица Вилиса Лациса, домовладение 8",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'суббота', 'Hours': '07:45-22:45'}, {'DayOfWeek': 'воскресенье', 'Hours': '07:45-22:45'}]",,нет,,нет,,да,нет,да,да,нет,да,да,01.01-31.12,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,,приспособлен для лиц с нарушением ОДА,общая физическая подготовка,"{'coordinates': [37.4271824542604, 55.8654607934313], 'type': 'Point'}"
407202388,Спортивный комплекс «Аквамарин»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '60944662-227f-4db7-b65a-7855e0c703ba'}],Северо-Западный административный округ,район Митино,"улица Рословка, домовладение 5",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:30'}, {'DayOfWeek': 'суббота', 'Hours': '07:45-22:45'}, {'DayOfWeek': 'воскресенье', 'Hours': '07:45-22:45'}]",,нет,,нет,,да,нет,да,да,да,да,да,01.01-31.12,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,,приспособлен для лиц с нарушением ОДА,общая физическая подготовка,"{'coordinates': [37.3665814372912, 55.8314107135929], 'type': 'Point'}"
407203580,"Спортивный комплекс «Косино», ул. Николая Старостина, д.8А",бассейн плавательный 25-ти метровый крытый,[{'Photo': '3551865c-47f1-46fe-b957-257993a9f6e9'}],Восточный административный округ,район Косино-Ухтомский,"улица Николая Старостина, дом 8А",,,,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'суббота', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '07:00-23:00'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 400, 'Length': 25, 'Width': 16, 'Depth': 2.2}]",смешанное освещение,специальное покрытие,0,платно,,приспособлен для всех групп инвалидов,общая физическая подготовка,"{'coordinates': [37.853329057688, 55.7297695925241], 'type': 'Point'}"
407203800,"Спортивный комплекс «Косино», ул. Николая Старостина, д.8А",бассейн плавательный площадью более 60-ти кв.м крытый,[{'Photo': 'c38f4c19-dcbc-4715-a75a-a217d465ba0e'}],Восточный административный округ,район Косино-Ухтомский,"улица Николая Старостина, дом 8А",,,,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'суббота', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '07:00-23:00'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 134.3, 'Length': 16.7, 'Width': 8.04, 'Depth': 1.1}]",смешанное освещение,специальное покрытие,0,платно,,приспособлен для всех групп инвалидов,общая физическая подготовка,"{'coordinates': [37.8535624098715, 55.7296696962414], 'type': 'Point'}"
407205370,Бассейн «Касатка»,бассейн плавательный 25-ти метровый крытый,[{'Photo': 'ffa482f6-0efe-4acd-ab43-5abc31b0c836'}],Восточный административный округ,район Ивановское,"улица Молостовых, дом 10А, строение 5",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'среда', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'суббота', 'Hours': '09:00-21:30'}, {'DayOfWeek': 'воскресенье', 'Hours': '09:00-20:45'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,,приспособлен для всех групп инвалидов,общая физическая подготовка,"{'coordinates': [37.8296372951093, 55.7597605674144], 'type': 'Point'}"
407205593,Спортивный комплекс «Олимпия»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '8c301a25-d7ab-4e93-85ad-c9422a367563'}],Восточный административный округ,район Новогиреево,"Фрязевская улица, дом 13А",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'среда', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'суббота', 'Hours': '09:00-21:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '09:00-21:00'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.8260566768796, 55.7467107696585], 'type': 'Point'}"
407206089,Спортивный комплекс «Вешняки»,бассейн плавательный площадью более 60-ти кв.м крытый,[{'Photo': '0e6e7548-4fbd-4494-b784-da2920157355'}],Восточный административный округ,район Вешняки,"Косинская улица, дом 12Б",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'суббота', 'Hours': '08:30-21:30'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:30-21:30'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 73.7, 'Length': 11, 'Width': 6.7, 'Depth': 1.2}]",смешанное освещение,специальное покрытие,0,платно,,приспособлен для всех групп инвалидов,общая физическая подготовка,"{'coordinates': [37.8337542097899, 55.7247070410612], 'type': 'Point'}"
